clade	portion	corr	coef	p	method	pl_error
13	queries	pearson	0.9232914320000257	0.0	us	1.7777777777777777
13	queries	kendalltau	0.35330737040533516	0.0	cafe	2.5
13	queries	kendalltau	0.7258304168377288	0.0	us	1.7777777777777777
12	backbone	spearman	0.5518646583936092	0.0	cafe	
12	backbone	spearman	0.9791250300004297	0.0	us	
12	backbone	pearson	0.5576339765482173	0.0	cafe	
12	backbone	pearson	0.9871447105578991	0.0	us	
12	backbone	kendalltau	0.38679331009614903	0.0	cafe	
12	backbone	kendalltau	0.882448136549795	0.0	us	
12	queries	spearman	0.6254124639010409	0.0	cafe	2.566666666666667
12	queries	spearman	0.8526929258878482	0.0	us	1.1333333333333333
12	queries	pearson	0.616443740403053	0.0	cafe	2.566666666666667
12	queries	pearson	0.8965799911202172	0.0	us	1.1333333333333333
12	queries	kendalltau	0.4394477184107066	0.0	cafe	2.566666666666667
12	queries	kendalltau	0.71473366321794	0.0	us	1.1333333333333333
8	backbone	spearman	0.40816214381190585	0.0	cafe	
8	backbone	spearman	0.9950060457381069	0.0	us	
8	backbone	pearson	0.5113964383725326	0.0	cafe	
8	backbone	pearson	0.997023207845345	0.0	us	
8	backbone	kendalltau	0.28450077334928786	0.0	cafe	
8	backbone	kendalltau	0.9445046162330762	0.0	us	
8	queries	spearman	0.3829103095294945	0.0	cafe	2.27027027027027
8	queries	spearman	0.9528643882512516	0.0	us	1.0810810810810811
8	queries	pearson	0.5232152171290387	0.0	cafe	2.27027027027027
8	queries	pearson	0.9677780998401818	0.0	us	1.0810810810810811
8	queries	kendalltau	0.26753465233944346	0.0	cafe	2.27027027027027
8	queries	kendalltau	0.8259161373238554	0.0	us	1.0810810810810811
1	backbone	spearman	0.5221565206603642	0.0	cafe	
1	backbone	spearman	0.9965226660115043	0.0	us	
1	backbone	pearson	0.46150862157455763	0.0	cafe	
1	backbone	pearson	0.9982437739577301	0.0	us	
1	backbone	kendalltau	0.370872945167389	0.0	cafe	
1	backbone	kendalltau	0.952112655593248	0.0	us	
1	queries	spearman	0.5211650333327906	0.0	cafe	3.074074074074074
1	queries	spearman	0.927955968034974	0.0	us	1.2222222222222223
1	queries	pearson	0.46035767631661795	0.0	cafe	3.074074074074074
1	queries	pearson	0.9442622644498624	0.0	us	1.2222222222222223
1	queries	kendalltau	0.37045287609401717	0.0	cafe	3.074074074074074
1	queries	kendalltau	0.7740882056564042	0.0	us	1.2222222222222223
6	backbone	spearman	0.4753397947985801	0.0	cafe	
6	backbone	spearman	0.9978673525605832	0.0	us	
6	backbone	pearson	0.4856383741674763	0.0	cafe	
6	backbone	pearson	0.9986204591704246	0.0	us	
6	backbone	kendalltau	0.32533754153224986	0.0	cafe	
6	backbone	kendalltau	0.9632699338874187	0.0	us	
6	queries	spearman	0.5481637741277581	0.0	cafe	2.888888888888889
6	queries	spearman	0.9329312966756019	0.0	us	1.4814814814814814
6	queries	pearson	0.5436389099078343	0.0	cafe	2.888888888888889
6	queries	pearson	0.9331231710226404	0.0	us	1.4814814814814814
6	queries	kendalltau	0.37961920925899745	0.0	cafe	2.888888888888889
6	queries	kendalltau	0.8031654032643005	0.0	us	1.4814814814814814
7	backbone	spearman	0.37018934367084094	0.0	cafe	
7	backbone	spearman	0.994025253689893	0.0	us	
7	backbone	pearson	0.3660399616547012	0.0	cafe	
7	backbone	pearson	0.9971352692228955	0.0	us	
7	backbone	kendalltau	0.25402915914026764	0.0	cafe	
7	backbone	kendalltau	0.9397676082892654	0.0	us	
7	queries	spearman	0.37277571411856925	0.0	cafe	3.5135135135135136
7	queries	spearman	0.9072287029359102	0.0	us	1.6216216216216217
7	queries	pearson	0.3606050064189984	0.0	cafe	3.5135135135135136
7	queries	pearson	0.9372046002365135	0.0	us	1.6216216216216217
7	queries	kendalltau	0.2560134488163714	0.0	cafe	3.5135135135135136
7	queries	kendalltau	0.7624984100876777	0.0	us	1.6216216216216217
0	backbone	spearman	0.32091330628245385	0.0	cafe	
0	backbone	spearman	0.9288268556219248	0.0	us	
0	backbone	pearson	0.338645658966054	0.0	cafe	
0	backbone	pearson	0.948514928344279	0.0	us	
0	backbone	kendalltau	0.22033496770714725	0.0	cafe	
0	backbone	kendalltau	0.7752309625508513	0.0	us	
0	queries	spearman	0.32110771872295774	0.0	cafe	1.8604651162790697
0	queries	spearman	0.7955505432556125	0.0	us	1.3488372093023255
0	queries	pearson	0.3288003031248212	0.0	cafe	1.8604651162790697
0	queries	pearson	0.8442411111632626	0.0	us	1.3488372093023255
0	queries	kendalltau	0.2207241534577867	0.0	cafe	1.8604651162790697
0	queries	kendalltau	0.6208610385089933	0.0	us	1.3488372093023255
9	backbone	spearman	0.4405815070178578	0.0	cafe	
9	backbone	spearman	0.9933547833150802	0.0	us	
9	backbone	pearson	0.4921202603461837	0.0	cafe	
9	backbone	pearson	0.9963399993567227	0.0	us	
9	backbone	kendalltau	0.30868272000716046	0.0	cafe	
9	backbone	kendalltau	0.9377016790340293	0.0	us	
9	queries	spearman	0.4302520077504894	0.0	cafe	2.6444444444444444
9	queries	spearman	0.8167711286478955	0.0	us	1.0666666666666667
9	queries	pearson	0.4721099633417758	0.0	cafe	2.6444444444444444
9	queries	pearson	0.8389593574220585	0.0	us	1.0666666666666667
9	queries	kendalltau	0.3016427423677088	0.0	cafe	2.6444444444444444
9	queries	kendalltau	0.6708615470338268	0.0	us	1.0666666666666667
